ODBIORCY_ID_FK;KONTA_STATUSY_SYMBOL;DOKUMENT_ID;DOKUMENT_NUMER;KWOTA_BRUTTO_ORYGINAL;KWOTA_NETTO_ORYGINAL;KWOTA_VAT_ORYGINAL;KWOTA_POZOSTALA;DATA_WYSTAWIENIA;DATA_ZAPLATY;DATA_KSIEGOWANIA
1078173;K;20496887;9090009629;-8,12;-6,6;-1,52;-8,12;01/09/2014 00:00:00;15/09/2014 00:00:00;08/11/2018 00:00:00
1078180;K;28085104;7590010727;-3,48;-2,84;-0,64;-2,85;10/07/2013 00:00:00;24/07/2013 00:00:00;08/11/2018 00:00:00
1078582;K;23163040;7855619920;-10,45;-8,51;-1,94;-9,87;25/11/2013 00:00:00;09/12/2013 00:00:00;08/11/2018 00:00:00
1078966;K;19774338;4730271821;-107,63;-87,5;-20,13;-107,63;23/03/2017 00:00:00;23/03/2017 00:00:00;08/11/2018 00:00:00
1079043;K;28060003;8410403885;-5,84;-4,74;-1,1;-5,77;30/07/2013 00:00:00;13/08/2013 00:00:00;08/11/2018 00:00:00
1079050;K;23308334;6575048402;-2,35;-1,91;-0,44;-2,23;14/09/2012 00:00:00;28/09/2012 00:00:00;08/11/2018 00:00:00
1079056;K;23156029;8820000751;-19,02;-15,46;-3,56;-19,02;09/07/2013 00:00:00;23/07/2013 00:00:00;08/11/2018 00:00:00
1079690;K;23134677;3225021662;-108,93;-88,55;-20,38;-6,7;07/04/2014 00:00:00;22/04/2014 00:00:00;08/11/2018 00:00:00
1079909;O;19725862;7814194444;-602,07;-489,49;-112,58;-17,08;06/11/2017 00:00:00;06/11/2017 00:00:00;08/11/2018 00:00:00
1080626;O;26596529;9482237732;-283,51;-230,5;-53,01;-152,11;23/05/2016 00:00:00;23/05/2016 00:00:00;08/11/2018 00:00:00
1080634;K;23166557;3205095533;-24,39;-19,8;-4,59;-13,21;13/04/2012 00:00:00;27/04/2012 00:00:00;08/11/2018 00:00:00
1080712;K;26342411;0515005605;-42,4;-34,5;-7,9;-42,4;06/05/2014 00:00:00;20/05/2014 00:00:00;08/11/2018 00:00:00
1080953;K;23169626;7855331374;-166,88;-135,69;-31,19;-68,15;05/07/2013 00:00:00;19/07/2013 00:00:00;08/11/2018 00:00:00
1080953;K;23153938;7810935770;-18,73;-15,22;-3,51;-18,73;05/02/2014 00:00:00;19/02/2014 00:00:00;08/11/2018 00:00:00
1081177;K;23175177;1155020985;-37,97;-30,87;-7,1;-37,97;08/05/2012 00:00:00;22/05/2012 00:00:00;08/11/2018 00:00:00
1081466;K;28135972;1155115015;-147,78;-120,12;-27,66;-63,33;20/11/2012 00:00:00;04/12/2012 00:00:00;08/11/2018 00:00:00
1081466;K;23134907;9530121785;-37,61;-30,58;-7,03;-37,61;09/04/2013 00:00:00;23/04/2013 00:00:00;08/11/2018 00:00:00
1081718;K;28296146;9480506812;-28,31;-23,02;-5,29;-27,86;18/11/2013 00:00:00;02/12/2013 00:00:00;08/11/2018 00:00:00
1081787;K;28106297;9480667785;-14,86;-12,09;-2,77;-14,86;18/02/2014 00:00:00;04/03/2014 00:00:00;08/11/2018 00:00:00
1081916;K;23166048;3225004625;-1,03;-0,83;-0,2;-0,94;27/02/2012 00:00:00;12/03/2012 00:00:00;08/11/2018 00:00:00
